title,category,company,responses,date,is_active
"Project manager","Project Manager","Ebola Communications",20,1/15/2013 12:21,FALSE
"QA Специалист (Web)","QA","MirTesen.ru",18,2/13/2013 18:23,TRUE
"QA engineer","QA","Ebola Communications",17,2/8/2013 11:45,TRUE
"Junior tester","QA","ДубльГИС",17,1/16/2013 21:00,FALSE
"Project Manager","Project Manager","Crytek Ukraine",13,2/6/2013 12:18,TRUE
"Tester","QA","Augmentive",13,1/11/2013 18:19,FALSE
"QA Tester","QA","Crytek Ukraine",12,2/6/2013 12:18,TRUE
"QA-engineer","QA","Intellectsoft",12,1/17/2013 18:35,FALSE
"Junior/Middle QA Automation Engineer","QA","Adstream",12,1/9/2013 12:18,FALSE
"Middle QA Engineer (game, web) от 800$","QA","Level Up",12,12/13/2012 16:12,FALSE
"iPhone (iPad) Developer","iOS/Mac","Depositphotos",11,2/7/2013 14:56,TRUE
"Junior Software Developer (C++ \ C#)",".NET","SightPower Ukraine",11,1/29/2013 23:34,TRUE
"QA Senior/Lead","QA","Paymentwall, Inc.",11,1/29/2013 14:33,TRUE
"QA Engineer (Middle, Junior)","QA","FulcrumWeb",11,1/28/2013 19:13,TRUE
"Senior Project Manager","Project Manager","Materialise",11,1/14/2013 11:40,FALSE
"Junior Manual Tester","QA","KSF (Kiev Software Factory)",10,2/4/2013 14:46,TRUE
"Business Analyst, Support","Analyst","Amadeus Ukraine",10,12/17/2012 10:08,FALSE
"PHP разработчик / старший разработчик (Senior developer)","PHP","Depositphotos",9,2/14/2013 13:41,TRUE
"QA engineer (manual testing)","QA","Prom.ua",9,1/14/2013 17:11,FALSE
"Junior PHP/MySQL Web Developer","PHP","Mobile Labs",9,1/8/2013 11:10,FALSE
"Android Developer","Android","Paymentwall, Inc.",8,2/19/2013 13:47,TRUE
"Quality Assurance Engineer","QA","Paymentwall, Inc.",8,2/19/2013 13:47,TRUE
"Automation Test Engineer","QA","Grammarly",8,2/13/2013 14:32,TRUE
"Android developer","Android","Mobisoft.Ltd",8,2/11/2013 13:00,TRUE
"Project Manager","Project Manager","Luxoft",8,1/25/2013 11:49,FALSE
"C# developer",".NET","MEGOGO.NET ",8,1/21/2013 17:30,FALSE
"Qa engineer","QA","Serena Software Ukraine",8,12/29/2012 16:34,FALSE
"Java Developer","Java","Innovecs",8,12/20/2012 18:12,FALSE
"QA Engineer","QA","City Media Digital AS",8,12/17/2012 13:21,FALSE
"Frontend Developer","Front End","Django Stars",7,2/18/2013 17:56,TRUE
"Front-End Developer","Front End","CloneFish",7,2/18/2013 14:24,TRUE
"Senior Product Manager",,"Grammarly",7,2/6/2013 12:41,TRUE
"Android developer","Android","Dukascopy",7,2/4/2013 18:11,TRUE
"Business Analyst","Analyst","EPAM Systems",7,1/23/2013 17:21,FALSE
"Руководитель группы разработки интерфейсов","Front End","Яндекс.Украина",7,1/22/2013 13:36,FALSE
"Java Engineer","Java","Cogniance, Inc",7,12/29/2012 3:16,FALSE
"PHP-программист","PHP","Open Media Group",6,2/25/2013 11:22,TRUE
"Frontend разработчик (верстка, JS)","Front End","MirTesen.ru",6,2/11/2013 19:07,TRUE
"Front-End Developer","Front End","InfoPulse",6,2/11/2013 14:55,TRUE
"CTO / VP Engineering",,"TubeMogul, Inc.",6,2/9/2013 21:25,TRUE
"Java/Grails Developer","Java","Dachis Group",6,2/8/2013 16:24,TRUE
"Support System Administrator","Support","Crytek Ukraine",6,2/5/2013 19:17,TRUE
"Project Coordinator","Project Manager","SysIQ",6,2/4/2013 19:22,TRUE
"QA Engineer","QA","SightPower Ukraine",6,1/28/2013 18:09,TRUE
"QA Engeneer","QA","CloneFish",6,1/28/2013 11:55,TRUE
"Automation QA Specialist","QA","EPAM Systems",6,1/23/2013 17:40,FALSE
"PHP разработчик","PHP","New Strategies Group",6,1/22/2013 11:15,FALSE
"Program Manager",,"SysIQ",6,1/19/2013 13:53,FALSE
"QA Engineer (301/KD)","QA","Kuadriga",6,1/17/2013 13:57,FALSE
"Mobile Testing Engineer (Yapital)!","QA","Kuadriga",6,1/17/2013 13:54,FALSE
"Middle PHP/MySQL Developer","PHP","Mobile Labs",6,1/8/2013 11:06,FALSE
"Senior C++ developer","C++","Serena Software Ukraine",6,12/26/2012 17:58,FALSE
"Помощник руководителя",,"Ramotion",6,12/20/2012 16:32,FALSE
"Контент-менеджер",,"Level Up",6,12/13/2012 17:23,FALSE
"Python Developer","Python","modnaKasta.ua",5,2/21/2013 10:13,TRUE
"Front End Developer","Front End","Depositphotos",5,2/14/2013 13:20,TRUE
"Business Analyst","Analyst","Opera Mobile Store",5,2/13/2013 13:09,TRUE
"Android developer (Toronto,Canada)","Android","TAL group Inc.",5,2/8/2013 17:40,TRUE
"Tester","QA","Trionika",5,2/8/2013 15:58,TRUE
"Senior/ Mid .Net / C# Developer",".NET","The Frayman Group",5,2/6/2013 15:13,TRUE
"Flash developer (middle - TL)","Flash","CloneFish",5,1/24/2013 14:08,FALSE
"iPhone developer","iOS/Mac","Mobisoft.Ltd",5,1/24/2013 12:48,FALSE
"QA Engineer","QA","Luxoft",5,1/23/2013 15:07,FALSE
"Project Manager in Telecommunications projects","Project Manager","InfoPulse",5,1/22/2013 17:28,FALSE
"Project Manager","Project Manager","WebSource Technologies, Ltd",5,1/19/2013 22:31,FALSE
"Junior .NET Developer (296/KD)",".NET","Kuadriga",5,1/17/2013 13:59,FALSE
"C++ developer","C++","Serena Software Ukraine",5,12/26/2012 17:58,FALSE
"QA Engineer (Mobile applications)","QA","INTERSOG",5,12/25/2012 17:56,FALSE
"Project Manager","Project Manager","Stanfy",5,12/11/2012 14:25,FALSE
"Sr PHP Developer","PHP","Level Up",4,2/20/2013 21:12,TRUE
"Web Developer (PHP, JavaScript, MySQL, HTML, CSS)","Front End","Inbitec",4,2/20/2013 12:05,TRUE
"Python Django developer","Python","Django Stars",4,2/18/2013 17:56,TRUE
"Automation Test Engineer (тестирование HTML сайтов, приложений)","QA","CloneFish",4,2/18/2013 17:25,TRUE
"Manual Tester","QA","CloneFish",4,2/18/2013 17:23,TRUE
"PHP Developer","PHP","Ciklum",4,2/18/2013 10:50,TRUE
"Project Manager for Worldticket","Project Manager","Ciklum",4,2/15/2013 14:51,TRUE
"Аналитик-статист (Web)","Analyst","Genesis Technology Partners",4,2/14/2013 16:04,TRUE
"Junior .Net Developer (C#)",".NET","Atola Technology",4,2/14/2013 9:17,FALSE
"PHP разработчик","PHP","MirTesen.ru",4,2/12/2013 16:38,TRUE
"Middle C# Developer",".NET","ISD",4,2/12/2013 12:03,TRUE
"Junior .Net Developer (C#)",".NET","Atola Technology",4,2/11/2013 8:52,FALSE
"Тестировщик-автоматизатор (QA Automation Engineer)","QA","MacPaw",4,2/7/2013 13:24,TRUE
"Программист С++","C++","Аэротехника",4,2/5/2013 8:46,TRUE
"Senior C++ Developer","C++","Adstream",4,2/4/2013 19:07,TRUE
"Верстальщик с чувством прекрасного","Front End","MirTesen.ru",4,2/4/2013 16:25,TRUE
"WEB & UX DESIGNER","Дизайн","Paymentwall, Inc.",4,1/29/2013 14:33,TRUE
"Linux/FreeBSD system Administrator",,"Paymentwall, Inc.",4,1/29/2013 14:32,TRUE
"Project Manager","Project Manager","Sigma Ukraine",4,1/28/2013 12:37,TRUE
"Functional Analyst","Analyst","Luxoft",4,1/25/2013 17:02,TRUE
"PMO Analyst /PMO Manager","Analyst","Luxoft",4,1/25/2013 12:21,TRUE
"Office Manager",,"City Media Digital AS",4,1/25/2013 10:45,FALSE
"QA Engineer","QA","modnaKasta.ua",4,1/24/2013 19:42,FALSE
"Программист С++ (ERP-системы)","C++","Интеллект-Сервис, Корпорация",4,1/24/2013 10:38,FALSE
"Android Software Engineer","Android","Stanfy",4,1/22/2013 17:26,FALSE
"Android developer","Android","MEGOGO.NET ",4,1/21/2013 17:30,FALSE
"Ruby Engineer","Ruby","Phenomena Group Ltd.",4,1/21/2013 11:50,FALSE
"Web-developer PHP / JS","PHP","ITCraft",4,1/21/2013 10:17,FALSE
"Senior Java EE Developer with Spring","Java","Farata Systems",4,1/17/2013 18:12,FALSE
"Android Developer","Android","Cupid plc",4,1/17/2013 17:01,FALSE
"PHP Developer","PHP","Cupid plc",4,1/17/2013 16:54,FALSE
"Automation QA Engineer","QA","DAXX BV",4,1/16/2013 12:27,FALSE
"Quality Assurance","QA","Augmentive",4,1/11/2013 18:19,FALSE
"C++ Programmer / Программист С++","C++","Ubisoft",4,1/9/2013 11:01,FALSE
"Senior PHP Web Developer","PHP","Paymentwall, Inc.",4,1/8/2013 12:45,FALSE
"Project manager for CSC Project Office (Mobile and Tablet unit)","Project Manager","Ciklum",4,12/24/2012 10:20,FALSE
"Senior Web Developer PHP/JS","PHP","Depositphotos",4,12/20/2012 12:35,FALSE
"Senior Business Analyst","Analyst","EPAM Systems",4,12/18/2012 11:27,FALSE
"Automation Test Engineer","QA","Арт-мастер (AM-SOFT)",4,12/11/2012 13:12,FALSE
"Project Manager (Kharkiv)","Project Manager","EPAM Systems",4,12/10/2012 12:49,FALSE
"PHP Software Engineer","PHP","SoftServe",3,2/21/2013 12:07,TRUE
"Web-designer","Дизайн","Mobisoft.Ltd",3,2/18/2013 11:49,TRUE
"Junior PHP developer","PHP","Flirchi LLC",3,2/15/2013 17:26,TRUE
"Delphi Software Engineer","Delphi","SoftServe",3,2/14/2013 12:28,TRUE
"Senior Drupal Web Developer","PHP","Sigma Ukraine",3,2/14/2013 12:03,TRUE
"разработчик С/C++","C++","СЕВА НОВА",3,2/13/2013 11:23,TRUE
"Верстальщик/Front-end разработчик","Front End","Trionika",3,2/12/2013 16:46,TRUE
"Web-дизайнер / UIX специалист","Дизайн","MirTesen.ru",3,2/12/2013 15:58,TRUE
"Web Developer","Front End","SysIQ",3,2/11/2013 11:10,TRUE
"HTML/CSS developer","Front End","Omnigon Communications",3,2/5/2013 17:21,TRUE
"Senior Business Analyst","Analyst","Exigen Services",3,2/5/2013 16:32,TRUE
"Senior C/С++ Developer","C++","ApriorIT",3,2/5/2013 15:09,TRUE
".NET Developer",".NET","iDeals Solutions",3,2/5/2013 12:58,TRUE
"Middle РHP-developer","PHP","ООО ""УКРНЕТ""",3,2/5/2013 12:35,TRUE
"PHP programmer","PHP","ЧП ""РТД Украина""",3,2/4/2013 23:20,TRUE
"Junior/Middle ASP.NET Developer",".NET","Svitla Systems, Inc.",3,2/4/2013 18:31,TRUE
"Java Developer","Java","Serena Software Ukraine",3,2/4/2013 16:06,TRUE
"Project Manager (Solution Delivery)","Project Manager","NetCracker",3,2/4/2013 15:48,TRUE
"Senior QA","QA","Persha Studia",3,2/4/2013 12:41,TRUE
"Project Manager (Web 2. 0 and Mobile projects)","Project Manager","Cogniance, Inc",3,1/31/2013 18:51,TRUE
"HR-менеджер/рекрутер","HR","Plarium Ukraine",3,1/31/2013 16:08,TRUE
"QA Engineer (with skills in PHP)","QA","INTERSOG",3,1/31/2013 14:52,TRUE
"Java/GWT Developer","Java","DAXX BV",3,1/30/2013 18:27,TRUE
"Linux System Administrator",,"DAXX BV",3,1/30/2013 17:01,TRUE
"Web Designer UI/UX","Front End","DAXX BV",3,1/30/2013 16:57,TRUE
"Team Leader / Project Manager","Project Manager","Luxoft",3,1/30/2013 13:48,TRUE
"Test Engineer","QA","Luxoft",3,1/30/2013 13:33,TRUE
"Software Architect",,"Samsung Ukraine R&D Center",3,1/30/2013 8:40,TRUE
"Systems Analyst","Analyst","EngagePoint",3,1/29/2013 12:02,TRUE
"Python developer","Python","Prom.ua",3,1/29/2013 10:42,TRUE
"Middle ASP.NET Developer",".NET","Sigma Ukraine",3,1/28/2013 12:38,TRUE
"Python / Tornado Developer","Python","CloneFish",3,1/28/2013 11:55,FALSE
"Senior QA Engineer","QA","Luxoft",3,1/25/2013 16:51,TRUE
"Senior Java Developer","Java","Adstream",3,1/25/2013 10:49,FALSE
"Business Analyst","Analyst","Luxoft",3,1/24/2013 19:02,FALSE
"Product manager",,"Eastern Peak Software",3,1/24/2013 18:47,FALSE
".Net Developer",".NET","InfoPulse",3,1/23/2013 18:11,FALSE
"Cheef Technical Officer",,"CloneFish",3,1/23/2013 16:37,FALSE
"Account Manager",,"Luxoft",3,1/23/2013 16:13,FALSE
"Senior Web Developer",".NET","TicketNetwork",3,1/23/2013 11:36,FALSE
"iOS developer","iOS","MEGOGO.NET ",3,1/21/2013 17:31,FALSE
"HTML верстальщик","Front End","Open Media Group",3,1/21/2013 13:23,FALSE
"Java/Android разработчик","Java","Компьютерная Академия ШАГ",3,1/18/2013 17:29,FALSE
"iOS разработчик для работы над корпоративными приложениями","iOS","Alterplay",3,1/17/2013 14:50,FALSE
"Automation QA Engineer (Yapital)!","QA","Kuadriga",3,1/17/2013 13:53,FALSE
"Senior/Middle .NET (MVC4) Developer",".NET","InfoPulse",3,1/17/2013 13:28,FALSE
"Интегратор ПО / release manager",,"InfoPulse",3,1/16/2013 17:11,FALSE
"Business Analyst/Technical writer for LanguageWire","Analyst","Ciklum",3,1/16/2013 14:29,FALSE
"QA Engineer","QA","Arkadium",3,1/14/2013 18:23,FALSE
"Sales manager of software products","Sales","Smile Ukraine - Open Source Solutions",3,1/14/2013 17:19,FALSE
"QA Engineer","QA","Wix",3,1/10/2013 16:03,FALSE
"Product manager",,"CloneFish",3,1/10/2013 13:54,FALSE
".NET Developers for challenging start-up!",".NET","N-iX",3,1/10/2013 11:22,FALSE
"IOS Developer","iOS","Paymentwall, Inc.",3,1/8/2013 12:51,FALSE
"Middle PHP Developer","PHP","Sigma Ukraine",3,12/27/2012 18:31,FALSE
"Senior Front-end developer for Softonic","Front End","Ciklum",3,12/25/2012 12:18,FALSE
"System administrator",,"Crytek Ukraine",3,12/24/2012 11:17,FALSE
"UI/UX Designer","Front End","Level Up",3,12/17/2012 18:01,FALSE
"ПМ игровой разработки",,"Level Up",3,12/13/2012 17:15,FALSE
"Business Analyst/Бизнес аналитик","Analyst","NetCracker",3,12/11/2012 14:15,FALSE
"Java Developer for Project Office","Java","Ciklum",3,12/4/2012 15:08,FALSE
"Java Developer to work on L1B visa in USA (20 vacancies)","Java","EngagePoint",3,12/3/2012 12:50,FALSE
"Business Analyst (Procurements Automation)","Analyst","SoftServe",2,2/22/2013 12:57,TRUE
"Инженер по тестированию мобильных систем","QA","InfoPulse",2,2/21/2013 18:22,TRUE
"Middle PHP-developer","PHP","Intellectsoft",2,2/21/2013 14:13,TRUE
"PHP / Web Developer","PHP","CloneFish",2,2/21/2013 12:34,TRUE
"Product Manager",,"SysIQ",2,2/21/2013 10:52,TRUE
"Web Developer","Front End","Remit",2,2/20/2013 18:35,TRUE
"Quality Assurance Engineer","QA","Materialise Dental",2,2/20/2013 12:45,TRUE
"Automation Tester (Lviv)","QA","EPAM Systems",2,2/19/2013 17:46,TRUE
"Project Manager","Project Manager","Luxoft",2,2/19/2013 11:53,TRUE
"QA engineer for Berlingske","QA","Ciklum",2,2/19/2013 11:45,TRUE
".Net Developer",".NET","A-MTOSS",2,2/19/2013 11:30,TRUE
"Middle Java Developer","Java","Smile Ukraine - Open Source Solutions",2,2/18/2013 17:06,TRUE
"Technical expert / Technical Lead",,"Smile Ukraine - Open Source Solutions",2,2/18/2013 17:06,TRUE
"Functional Language Programmer",,"Ciklum",2,2/18/2013 12:51,TRUE
"Frontend developer for 24-7 Entertainment","Front End","Ciklum",2,2/18/2013 12:23,TRUE
"Automated QA Engineer for DIBS","QA","Ciklum",2,2/18/2013 9:52,TRUE
"C++ Game Developer for Hapti.co","C++","Ciklum",2,2/18/2013 9:33,TRUE
"C, C++ (Marmalade) Developer","C++","Wallhive",2,2/15/2013 20:28,TRUE
"Back-End .Net Developer for Betsson",".NET","Ciklum",2,2/15/2013 14:48,TRUE
"Technical Project manager for Playtech Mobile","Project Manager","Ciklum",2,2/15/2013 14:39,TRUE
"SQL/.NET Developer",".NET","Sigma Ukraine",2,2/14/2013 19:55,TRUE
"Релиз Менеджер",,"Persha Studia",2,2/13/2013 11:59,TRUE
"ASP.NET Developer",".NET","Nemetos Ukraine",2,2/12/2013 14:18,TRUE
"Android developer","Android","modnaKasta.ua",2,2/11/2013 20:35,TRUE
"IT Manager",,"Crytek Ukraine",2,2/11/2013 20:14,TRUE
"Java Software Engineer","Java","SoftServe",2,2/11/2013 17:58,TRUE
"Graphic/Web Designer","Дизайн","Svitla Systems, Inc.",2,2/11/2013 17:11,TRUE
"Senior iOS Developer","iOS/Mac","Lohika Systems",2,2/11/2013 16:57,TRUE
"Senior C#/C++ developer (Toronto, Canada)","C++","TAL group Inc.",2,2/8/2013 17:48,TRUE
"Front End Team Lead","Front End","Dachis Group",2,2/8/2013 16:22,TRUE
"Unix System Administrator",,"Svitla Systems, Inc.",2,2/8/2013 13:44,FALSE
"Senior .NET Developer",".NET","DataArt",2,2/8/2013 13:41,TRUE
"Middle .NET Developer",".NET","Luxoft",2,2/7/2013 13:36,TRUE
"Project manager (Web)","Project Manager","RightFusion",2,2/6/2013 12:46,TRUE
"Game Designer","Дизайн","Crytek Ukraine",2,2/6/2013 12:18,TRUE
"Server Programmer C#",".NET","Crytek Ukraine",2,2/5/2013 19:17,TRUE
"Senior .NET Developer",".NET","iDeals Solutions",2,2/5/2013 12:57,TRUE
"Python/django/js developer","Python","42 Coffee Cups",2,2/5/2013 12:53,TRUE
"ASP.NET Developer",".NET","Zfort Group",2,2/5/2013 10:41,TRUE
"C# ASP.NET Developer into Product Department",".NET","Sitecore",2,2/5/2013 10:06,TRUE
"Senior Java Developer","Java","SysIQ",2,2/4/2013 19:22,TRUE
"PHP Magento Developer","PHP","SysIQ",2,2/4/2013 19:22,TRUE
"Бизнес аналитик","Analyst","Щоденник",2,2/4/2013 16:36,TRUE
"Senior PHP Developer","PHP","MEGOGO.NET ",2,2/4/2013 16:30,TRUE
"Senior PHP разработчик","PHP","MirTesen.ru",2,2/4/2013 16:25,TRUE
"Web front-end developer","Front End","Serena Software Ukraine",2,2/4/2013 16:06,TRUE
"Project Technical Manager (Delivery)","Project Manager","NetCracker",2,2/4/2013 15:47,TRUE
"Ruby on Rails Developer","Ruby","DataArt",2,2/4/2013 15:20,TRUE
"Front-end (HTML, CSS, Javascript) Developer","Front End","Wallhive",2,2/4/2013 15:17,TRUE
"Аналитик-криптограф (защита информации)","Other","Арт-мастер (AM-SOFT)",2,2/4/2013 14:42,TRUE
"C++ Developer","C++","Akvelon Ukraine",2,2/1/2013 15:30,TRUE
"Project Manager for Wendia","Project Manager","Ciklum",2,2/1/2013 15:21,TRUE
"IT рекрутер","HR","Luxoft",2,2/1/2013 13:06,TRUE
"Программист ASP.NET",".NET","Интеллект-Сервис, Корпорация",2,1/31/2013 16:54,TRUE
"Perl developer","Perl","PortaOne",2,1/31/2013 16:07,TRUE
"Senior Analyst","Analyst","Luxoft",2,1/31/2013 12:14,TRUE
"Front-end developer","Front End","modnaKasta.ua",2,1/31/2013 10:35,TRUE
"Senior System Software developer","C++","Samsung Ukraine R&D Center",2,1/30/2013 8:40,TRUE
"Senior Research Engineer",,"Samsung Ukraine R&D Center",2,1/30/2013 8:40,TRUE
"Senior PHP Developer","PHP","Mobisoft.Ltd",2,1/29/2013 16:32,TRUE
"Front-end developer","Front End","Mobisoft.Ltd",2,1/29/2013 16:32,TRUE
"Project Manager","Project Manager","EngagePoint",2,1/29/2013 11:24,TRUE
"Middle / Senior Java Software Engineer","Java","EPAM Systems",2,1/29/2013 10:35,TRUE
"QA engineer for Playtech Open Gateway","QA","Ciklum",2,1/28/2013 10:38,TRUE
"Middle and Senior .NET Developers (R&D)",".NET","Skelia",2,1/25/2013 18:19,TRUE
"Senior Java developer","Java","Serena Software Ukraine",2,1/25/2013 17:54,TRUE
"Sales/Marketing Assistant","Sales","Trust Sourcing",2,1/25/2013 17:37,TRUE
"HTML Programmer","Front End","Trust Sourcing",2,1/25/2013 17:35,TRUE
"Technical Project Manager","Project Manager","Trust Sourcing",2,1/25/2013 17:32,TRUE
"Senior Test engineer","QA","Luxoft",2,1/25/2013 16:42,TRUE
"Android Developer","Android","Luxoft",2,1/25/2013 14:27,TRUE
"Java Developer","Java","Luxoft",2,1/25/2013 14:22,TRUE
"Senior PHP Software Engineer","PHP","SoftServe",2,1/25/2013 14:08,TRUE
"Senior Business Analyst","Analyst","Luxoft",2,1/25/2013 13:49,TRUE
"Scrum Master",,"Luxoft",2,1/25/2013 11:26,FALSE
"iOS Developer","iOS","Eastern Peak Software",2,1/24/2013 17:50,FALSE
"Android developer","Android","Eastern Peak Software",2,1/24/2013 17:50,FALSE
"Embedded Software Engineer","C++","Waverley Software",2,1/24/2013 17:44,FALSE
"Lead QA Engineer","QA","CloneFish",2,1/24/2013 14:01,FALSE
"Graphic Designer for Project Office","Дизайн","Ciklum",2,1/24/2013 12:19,FALSE
"Веб-дизайнер","Дизайн","ABFX — агентство интернет-решений ",2,1/24/2013 11:30,FALSE
"Опытный и талантливый Flash разработчик многомиллионых соц игр на Фейсбуке","Flash","Official Human",2,1/23/2013 23:47,FALSE
"Senior PHP / JavaScript Developer","PHP","Luxoft",2,1/23/2013 15:52,FALSE
"PHP front-end Developer","PHP","Trust Sourcing",2,1/23/2013 14:39,FALSE
"iOS Software Engineer","iOS/Mac","Stanfy",2,1/22/2013 17:26,FALSE
"Senior Developer (iOS) for Just Eat","iOS/Mac","Ciklum",2,1/22/2013 9:32,FALSE
"Cпециалист по тестированию (OpenStack)","QA","Mirantis",2,1/21/2013 13:21,FALSE
"Junior Android Developer","Android","ПАО КБ «ПРИВАТБАНК»",2,1/21/2013 11:59,FALSE
